customer_id,country,age_range,signup_date
645,Portugal,26-35,2025-01-06
187,France,26-35,2025-04-12
220,Germany,26-35,2025-01-30
36,France,26-35,2025-03-12
CUST-199,Italy,36-45,2025-02-23
795-X,,,
673,Germany,36-45,2025-04-16
10,Germany,16-25,2024-03-12
CUST-940,Italy,46-55,2024-09-20
763,Spain,26-35,2024-02-29
914,Spain,26-35,2025-03-29
301,France,26-35,2025-03-24
467,Spain,26-35,
923,Italy,46-55,2025-03-18
790,France,16-25,2025-04-26
284,Italy,16-25,2025-03-27
945,Germany,16-25,2024-10-03
854,Portugal,36-45,2025-02-24
4,Italy,36-45,2025-03-11
957,France,16-25,2025-01-18
159,Spain,26-35,2024-12-05
805,Germany,26-35,2025-02-21
473,France,16-25,2025-02-08
183,Netherlands,46-55,2025-03-06
839,Germany,36-45,2025-01-29
111,Spain,46-55,2024-11-02
561,France,26-35,2025-03-24
134,Germany,36-45,2024-06-15
86,Netherlands,46-55,2025-04-09
1,France,56-65,2025-04-24
61,Spain,46-55,2024-10-20
124,,36-45,2025-04-15
474,France,36-45,2025-03-28
349,Germany,26-35,2025-03-20
184,France,46-55,2025-04-11
906,Netherlands,46-55,2025-05-03
84,Netherlands,46-55,2024-06-18
CUST-689,Spain,56-65,2025-03-19
855,Spain,16-25,2025-03-12
CUST-256,Italy,16-25,
466,Germany,16-25,2024-10-10
62,Spain,56-65,2025-03-30
370,Netherlands,26-35,2025-01-23
418,France,36-45,2025-02-15
CUST-82,France,,2024-02-18
706,France,36-45,2025-04-26
7,France,46-55,2024-09-27
485,Netherlands,36-45,2025-02-11
354,Germany,36-45,2025-02-05
316,France,36-45,2025-02-15
854,Portugal,36-45,2025-02-24
204-X,,,2025-05-03
293,Italy,56-65,2024-11-22
581,Germany,56-65,2025-05-27
765,Spain,56-65,2025-01-03
326,Italy,26-35,2025-06-09
CUST-762-X,,36-45,2025-03-25
406,,36-45,2024-12-17
705-X,Spain,26-35,2025-02-23
504-X,Netherlands,,2025-04-21
936,Netherlands,26-35,2025-02-12
712,Germany,36-45,2024-05-26
554,France,56-65,2025-02-22
943,Italy,56-65,2025-03-02
302,Germany,56-65,2025-03-13
694,Netherlands,46-55,2024-09-08
657,Italy,26-35,2025-03-16
228,Germany,,2024-06-10
CUST-960,Germany,56-65,2025-01-13
CUST-706,,36-45,2025-04-26
552,,46-55,2024-11-13
381,Germany,26-35,2025-01-27
700,Portugal,16-25,2025-03-08
837,Germany,46-55,2025-03-02
320,Italy,46-55,2024-01-28
168,France,36-45,2025-01-23
459,France,46-55,2025-04-18
208,France,36-45,2025-02-02
171,Italy,16-25,2025-01-23
15,Netherlands,26-35,2025-04-05
560,Germany,26-35,2025-04-10
395,Spain,26-35,2025-01-14
99,Spain,36-45,2025-03-17
315,Netherlands,46-55,2024-09-17
734,Netherlands,46-55,2025-03-28
410,Spain,16-25,2024-08-28
175,Germany,16-25,2025-03-30
126,Netherlands,26-35,2025-02-01
735,France,26-35,2025-04-02
CUST-770,Portugal,36-45,2025-03-28
22,Germany,36-45,2025-03-03
558,Italy,46-55,2024-09-24
159,Spain,26-35,
14,Germany,46-55,
CUST-379,,46-55,2025-04-03
CUST-437-X,Italy,36-45,2024-01-13
756,France,56-65,2024-05-23
949,Spain,56-65,2024-04-06
738,,,
CUST-358,Germany,36-45,2024-04-10
288,Italy,36-45,2025-02-05
953,France,,2025-03-02
606,Germany,36-45,2024-06-20
767,Netherlands,36-45,2025-05-01
873,France,16-25,2025-04-01
593,France,26-35,2025-03-11
30,Germany,26-35,2024-08-02
106,Germany,36-45,2025-05-04
35,France,26-35,2025-04-28
567-X,,26-35,2025-04-19
386,France,36-45,2025-03-28
215,Netherlands,56-65,2025-02-03
87,Italy,46-55,2024-09-27
98,France,26-35,2024-02-20
640,France,26-35,2025-01-20
650,Italy,,2024-04-07
144,Germany,46-55,
892,Germany,46-55,2025-03-16
636,Spain,56-65,2025-03-18
730,Spain,16-25,2025-02-16
129,France,26-35,2025-03-27
358,Germany,36-45,2024-04-10
68,Italy,46-55,
756,France,56-65,2024-05-23
383,France,46-55,2024-01-15
282-X,Italy,16-25,2024-02-10
654,Italy,56-65,2025-05-05
46,Germany,56-65,2025-04-26
238,France,16-25,2024-12-16
120,Germany,46-55,2025-04-26
832,Italy,16-25,2025-03-04
415,France,36-45,2025-03-08
823,Germany,,2025-05-10
CUST-995-X,Germany,56-65,2024-02-15
510-X,France,16-25,2025-03-18
728,Netherlands,56-65,2025-04-02
870,Italy,36-45,2024-12-03
634,Portugal,46-55,2025-03-03
286,Italy,26-35,2024-06-05
992,Italy,36-45,2025-05-14
160,Germany,56-65,2025-02-12
754,Spain,26-35,2025-01-20
626,Italy,36-45,2025-02-19
145,Italy,16-25,2024-09-21
136,Germany,16-25,2024-09-30
692,France,56-65,2025-05-05
253,France,26-35,
298,Germany,16-25,2025-05-03
CUST-974,Italy,26-35,
519,Italy,16-25,2025-02-10
510,France,16-25,2025-03-18
977,Italy,56-65,2024-01-04
695,Spain,56-65,2025-02-17
365,France,56-65,2025-03-24
611,Spain,36-45,2025-04-18
783,Italy,36-45,2025-03-03
572,Netherlands,56-65,2025-02-06
668,Spain,26-35,2024-04-06
765,Spain,,2025-01-03
141,Italy,56-65,2024-01-14
738,Netherlands,26-35,2025-03-16
495,Germany,36-45,2024-07-08
362,Spain,56-65,2024-05-10
799,France,36-45,2024-10-30
363,Netherlands,56-65,2024-09-13
547-X,France,36-45,
152,France,26-35,2025-02-27
212-X,Spain,46-55,2024-02-23
CUST-687,France,26-35,2025-05-09
766,Spain,56-65,2024-01-02
CUST-518,Germany,46-55,
633,Spain,56-65,2025-03-11
613,Netherlands,16-25,2025-05-12
91,Netherlands,16-25,2025-04-02
677,Portugal,36-45,2025-03-12
75,Italy,46-55,2025-02-21
526,France,26-35,2024-09-15
413,France,16-25,2025-04-29
616,Germany,46-55,2024-06-08
543,Germany,36-45,2024-06-08
CUST-483,Netherlands,,2025-03-21
31,France,46-55,2024-11-26
582,France,36-45,2025-03-15
770-X,Portugal,36-45,
954,Portugal,26-35,2025-02-19
210,Spain,26-35,2024-01-02
691,Italy,46-55,2025-04-04
244,Netherlands,36-45,2025-03-13
707,France,46-55,2025-02-06
541,France,56-65,2025-04-17
265,Italy,46-55,2025-03-29
719,Italy,26-35,2025-02-20
498,France,46-55,2024-08-12
841,Spain,56-65,2025-03-03
662,Italy,36-45,2025-03-05
303,Germany,46-55,2024-03-03
818,France,46-55,2025-03-05
289,Netherlands,46-55,2025-04-30
686,Netherlands,16-25,2025-04-11
337,Spain,46-55,2024-08-03
279,France,36-45,2025-04-09
658,Italy,36-45,2025-03-08
236-X,Netherlands,46-55,2024-09-26
723,Italy,56-65,2024-02-08
CUST-597-X,Netherlands,36-45,
295,France,16-25,2024-01-09
981,Spain,26-35,2025-04-29
730,Spain,16-25,2025-02-16
180,Germany,56-65,2025-02-13
155,Germany,26-35,2025-02-19
235-X,Italy,56-65,2025-04-08
19,Germany,56-65,2025-02-14
251,Italy,16-25,2024-07-31
683,France,36-45,2024-05-27
468,Germany,36-45,2024-01-28
575,Netherlands,26-35,2025-04-15
92,,46-55,2025-03-14
447,France,26-35,2025-03-19
624,Spain,36-45,2025-03-11
633,Spain,56-65,2025-03-11
,Italy,46-55,2025-03-15
28,Spain,16-25,2025-04-02
,Germany,26-35,2025-02-21
CUST-905-X,,,2025-01-26
871,Netherlands,,
347,Netherlands,36-45,2024-06-20
857,Germany,36-45,2025-04-21
228,Germany,36-45,2024-06-10
605,Spain,26-35,2025-03-24
996,Germany,16-25,2025-05-08
307,Italy,56-65,2024-03-21
471,Netherlands,56-65,2025-03-11
CUST-555,Spain,26-35,2024-02-21
254,Italy,36-45,2025-04-21
,Netherlands,36-45,2025-04-07
542,France,46-55,2025-01-08
886,Italy,36-45,2024-07-26
699,Netherlands,56-65,2025-02-25
CUST-929-X,,26-35,2025-01-11
111,Spain,46-55,2024-11-02
455,Netherlands,36-45,2025-04-07
341,,16-25,2025-04-20
420-X,Germany,,2025-03-07
758,Portugal,36-45,2025-03-15
105,Italy,26-35,2024-08-31
,Portugal,36-45,2024-10-20
132,France,46-55,2025-02-26
641,Spain,36-45,2025-03-21
905,Spain,36-45,2025-01-26
355,Spain,36-45,2025-03-24
984,Netherlands,16-25,2024-02-18
CUST-281,Germany,46-55,2025-01-14
785,France,56-65,2025-03-18
26,Netherlands,,
993,Germany,16-25,2025-04-17
CUST-533-X,Spain,46-55,2024-06-13
862,France,36-45,2024-12-14
235,Italy,56-65,2025-04-08
241,Spain,46-55,2025-03-27
833,Portugal,56-65,2025-03-07
104,Netherlands,56-65,2025-03-20
327,France,26-35,2025-01-31
CUST-680-X,Spain,56-65,2024-09-15
777,Spain,36-45,2025-05-02
997,Italy,56-65,2025-03-29
