product_id,product_name,category,brand,color,size,catalog_price,cost_price,gender
494,T-Shirts Drop 7,T-Shirts,Tiva,red,S,53.52,24.43,female
225,Polished Crew Shoes,Shoes,Tiva,W,XS,58.11,27.87,F
429,Bold Wrap Tee,T-Shirts,Tiva,W,L,43.34,21.9,female
379,Essential Cotton Trousers,Pants,Tiva,W,L,70.82,45.63,Female
433,Essential Boxy Trousers,Pants,Tiva,Red,XS,60.12,35.2,Female
394,Elegant Silk Tee,T-Shirts,Tiva,Red,XS,52.58,33.28,F
129,Classic Linen Trousers,Pants,Tiva,Red,XS,60.68,24.4,female
97,Modern High-Waist Shoes,Shoes,Tiva,Red,36,55.27,30.78,F
263,Relaxed High-Waist Shoes,Shoes,Tiva,white,XS,42.48,18.78,Female
158,Vintage Sleeveless Dress,Dresses,Tiva,Black,XL,45.15,28.38,Female
292,Essential Cotton Tee,T-Shirts,Tiva,White,XS,40.12,16.5,female
340,Tailored Cotton Shoes,Shoes,Tiva,Black,XS,60.83,26.12,female
420,Elegant Sleeveless Shoes,Shoes,Tiva,Green,36,72.58,45.41,F
221,Polished Silk Tee,T-Shirts,Tiva,black,M,53.7,32.07,F
57,Modern Crew Dress,Dresses,Tiva,G,M,52.28,22.3,Female
44,Modern Wrap Trousers,Pants,Tiva,Red,XS,64.84,43.62,F
486,T-Shirts Drop 4,T-Shirts,Tiva,black,M,68.03,45.6,F
41,Soft Boxy Trousers,Pants,Tiva,G,M,37.94,16.57,F
241,Polished Ribbed Trousers,Pants,Tiva,black,L,29.82,20.34,female
385,Essential Satin Trousers,Pants,Tiva,Red,M,63.23,39.24,F
457,Bold Crew Tee,T-Shirts,Tiva,black,M,31.61,12.75,female
196,Vintage Cotton Trousers,Pants,Tiva,W,S,59.41,29.99,F
465,Bold Boxy Set,Sleepwear,Tiva,G,S,28.98,19.96,Female
471,T-Shirts Drop 1,T-Shirts,Tiva,black,L,40.92,16.52,Female
275,Relaxed Sleeveless Tee,T-Shirts,Tiva,red,XL,52.11,28.84,Female
175,Vintage Cotton Tee,T-Shirts,Tiva,Black,XS,49.16,29.18,Female
498,T-Shirts Drop 8,T-Shirts,Tiva,W,L,38.33,16.23,Female
444,Bold Cotton Dress,Dresses,Tiva,Black,XL,61.78,31.58,F
128,Classic Crew Tee,T-Shirts,Tiva,Green,XL,44.9,29.55,F
139,Classic High-Waist Tee,T-Shirts,Tiva,G,L,33.59,17.1,F
369,Tailored Crew Dress,Dresses,Tiva,G,XL,43.04,19.74,F
336,Tailored Ribbed Tee,T-Shirts,Tiva,Black,XL,51.22,21.11,female
37,Soft Crew Trousers,Pants,Tiva,red,XS,51.33,25.22,female
309,Essential Ribbed Dress,Dresses,Tiva,red,M,42.14,26.91,F
60,Modern Cotton Tee,T-Shirts,Tiva,G,M,81.7,40.65,female
7,Soft Linen Dress,Dresses,Tiva,white,M,57.66,24.07,F
277,Relaxed Boxy Tee,T-Shirts,Tiva,Blue,L,43.92,28.09,F
80,Classic Ribbed Dress,Dresses,Tiva,black,S,31.86,13.85,Female
59,Soft Silk Set,Sleepwear,Tiva,Blue,S,34.58,14.3,Female
186,Vintage Boxy Shoes,Shoes,Tiva,Green,35,59.35,35.49,F
121,Classic Cotton Shoes,Shoes,Tiva,black,35,47.91,30.77,female
220,Polished Wrap Set,Sleepwear,Tiva,red,L,52.6,34.44,F
404,Elegant Cotton Set,Sleepwear,Tiva,black,L,45.19,29.28,F
24,Soft High-Waist Dress,Dresses,Tiva,G,S,42.76,21.8,F
204,Polished Boxy Dress,Dresses,Tiva,White,XS,39.2,26.25,F
179,Vintage Satin Tee,T-Shirts,Tiva,B,XS,44.59,30.37,female
