sale_id,channel,discounted,total_amount,sale_date,customer_id,country
FR-10,E-commerce,0,299.7,2025-05-21,195,france
DE-100,App Mobile,0,681.05,2025-04-21,518,DE
DE-1000,E-commerce,0,324.5,2025-05-20,439,DE
DE-1001,E-commerce,0,287.85,2025-04-05,349,DE
PT-1003,App Mobile,0,430.64,2025-06-06,727,PT
DE-1004,App Mobile,0,104.73,2025-04-27,983,Germany
ES-1006,E-commerce,0,249.21,2025-05-05,309,ES
IT-1007,App Mobile,0,437.52,2025-04-16,53,Italy
FR-1008,App Mobile,0,386.92,2025-05-24,593,FR
ES-1011,App Mobile,0,212.87,2025-04-17,161,Spain
FR-1013,App Mobile,0,178.68,2025-04-30,296,FR
DE-1014,E-commerce,0,175.37,2025-05-16,578,Germany
ES-1015,App Mobile,0,355.88,2025-05-27,151,Spain
IT-1016,E-commerce,0,288.61,2025-04-22,973,IT
NL-1017,App Mobile,0,274.38,2025-05-22,613,netherlands
IT-1018,E-commerce,0,272.08,2025-05-16,462,Italy
DE-1019,E-commerce,1,363.76,2025-05-06,43,germany
FR-102,App Mobile,0,289.57,2025-06-14,692,france
DE-1020,E-commerce,0,423.57,2025-05-17,120,DE
ES-1024,App Mobile,0,391.65,2025-04-15,331,spain
FR-1025,App Mobile,0,89.97,2025-05-29,318,France
IT-1026,E-commerce,0,218.4,2025-05-19,190,IT
IT-1028,E-commerce,0,288.52,2025-05-25,475,Italy
FR-1029,E-commerce,0,229.7,2025-04-17,554,France
DE-103,E-commerce,0,452.53,2025-06-13,76,germany
NL-1030,App Mobile,0,261.25,2025-06-16,575,NL
PT-1031,App Mobile,0,281.67,2025-04-06,896,PT
NL-1034,App Mobile,0,192.63,2025-05-31,342,NL
DE-1035,E-commerce,0,215.07,2025-05-05,857,germany
IT-1036,E-commerce,0,199.55,2025-06-13,793,Italy
IT-1038,E-commerce,0,224.2,2025-05-04,203,italy
NL-1039,App Mobile,0,405.63,2025-06-13,460,Netherlands
ES-104,App Mobile,0,555.25,2025-04-20,373,ES
FR-1040,App Mobile,1,277.8,2025-05-16,608,FR
DE-1042,App Mobile,1,45.5,2025-05-13,822,DE
DE-1044,App Mobile,0,428.76,2025-04-30,268,DE
DE-1045,E-commerce,0,288.98,2025-05-14,113,Germany
ES-1047,E-commerce,0,441.52,2025-04-17,161,spain
IT-1049,App Mobile,0,291.23,2025-04-19,294,Italy
DE-1050,E-commerce,1,376.24,2025-04-06,122,Germany
NL-1052,E-commerce,0,189.24,2025-04-24,563,netherlands
NL-1053,E-commerce,0,300.19,2025-04-14,620,NL
DE-1054,App Mobile,0,238.03,2025-04-28,493,germany
DE-1055,App Mobile,0,297.78,2025-05-21,492,germany
IT-1058,E-commerce,0,339.2,2025-05-26,163,Italy
FR-1059,App Mobile,1,291.47,2025-05-18,640,FR
FR-106,E-commerce,0,298.75,2025-04-25,21,france
DE-1060,App Mobile,1,64.19,2025-05-18,648,DE
FR-1061,App Mobile,0,242.94,2025-04-05,201,france
IT-1062,App Mobile,0,268.2,2025-05-05,100,Italy
IT-1064,E-commerce,0,286.5,2025-04-18,670,IT
IT-1066,E-commerce,0,415.38,2025-05-14,340,IT
DE-1067,App Mobile,0,200.77,2025-05-30,176,DE
NL-1068,E-commerce,0,452.65,2025-05-19,104,NL
NL-1070,App Mobile,0,246.2,2025-04-30,244,Netherlands
ES-1071,App Mobile,0,240.94,2025-06-05,338,spain
FR-1078,E-commerce,0,332.1,2025-06-16,521,france
DE-1079,App Mobile,0,173.84,2025-06-15,837,germany
DE-108,E-commerce,0,646.1,2025-05-19,414,germany
PT-1082,App Mobile,0,298.6,2025-06-04,774,Portugal
IT-1083,E-commerce,0,313.89,2025-05-15,340,italy
ES-1084,E-commerce,0,495.83,2025-04-28,477,Spain
DE-1085,E-commerce,0,200.04,2025-05-14,51,DE
FR-1086,E-commerce,0,224.18,2025-04-17,561,FR
FR-1087,App Mobile,0,364.9,2025-05-24,628,FR
DE-1088,App Mobile,0,340.0,2025-04-13,385,germany
FR-1093,App Mobile,0,107.55,2025-05-25,474,france
FR-1095,E-commerce,0,261.45,2025-06-16,109,France
FR-1096,E-commerce,0,218.98,2025-04-05,867,FR
DE-1097,App Mobile,0,228.41,2025-06-15,271,Germany
IT-1098,App Mobile,0,354.25,2025-05-27,564,italy
DE-1099,E-commerce,1,230.63,2025-05-06,81,Germany
FR-11,App Mobile,0,327.88,2025-05-20,187,FR
DE-1100,E-commerce,0,262.86,2025-06-17,837,DE
ES-1102,App Mobile,1,214.7,2025-05-14,624,Spain
FR-1103,E-commerce,0,108.13,2025-05-31,393,france
FR-1106,E-commerce,0,219.78,2025-06-05,35,France
DE-1108,E-commerce,0,194.29,2025-05-27,58,Germany
FR-1109,E-commerce,0,78.69,2025-05-27,359,France
IT-1110,E-commerce,1,390.78,2025-06-06,402,IT
FR-1111,App Mobile,0,204.48,2025-04-18,687,FR
FR-1112,App Mobile,0,229.4,2025-04-25,953,france
DE-1113,App Mobile,0,304.05,2025-04-19,958,Germany
NL-1115,E-commerce,0,501.76,2025-04-19,872,netherlands
FR-1116,E-commerce,0,318.59,2025-05-21,640,france
IT-1117,E-commerce,0,190.25,2025-06-15,660,IT
IT-1119,E-commerce,0,147.22,2025-05-19,976,Italy
IT-112,E-commerce,1,445.72,2025-06-06,876,italy
IT-1122,E-commerce,0,412.92,2025-06-16,609,italy
FR-1123,E-commerce,0,342.14,2025-05-27,18,FR
DE-1124,E-commerce,0,162.23,2025-04-29,314,germany
DE-1127,E-commerce,0,281.04,2025-05-13,144,germany
FR-1128,App Mobile,0,96.84,2025-05-31,759,FR
DE-1129,App Mobile,0,125.14,2025-05-21,892,DE
NL-113,App Mobile,0,448.08,2025-05-25,872,Netherlands
DE-1130,E-commerce,0,579.95,2025-05-26,385,DE
FR-1132,App Mobile,0,267.61,2025-05-20,231,france
IT-1133,E-commerce,0,210.9,2025-04-25,745,IT
IT-1134,App Mobile,0,324.16,2025-05-28,580,IT
FR-1135,App Mobile,0,202.84,2025-05-20,946,france
NL-1136,App Mobile,0,111.97,2025-06-14,460,netherlands
DE-1137,E-commerce,0,380.37,2025-05-17,505,Germany
DE-1138,E-commerce,0,375.32,2025-04-27,958,DE
FR-1139,App Mobile,0,422.16,2025-04-16,21,FR
ES-114,App Mobile,0,280.43,2025-04-25,903,ES
FR-1143,E-commerce,1,155.13,2025-04-06,472,france
PT-1144,E-commerce,0,141.99,2025-05-20,700,Portugal
NL-1146,E-commerce,0,326.72,2025-05-24,15,Netherlands
DE-1148,App Mobile,1,448.98,2025-05-13,562,germany
ES-1149,E-commerce,0,441.5,2025-05-30,948,Spain
NL-115,App Mobile,0,169.37,2025-05-04,879,Netherlands
DE-1150,App Mobile,0,607.24,2025-06-05,220,DE
IT-1152,E-commerce,0,375.47,2025-04-22,157,IT
IT-1153,App Mobile,1,149.91,2025-05-17,177,IT
DE-1154,E-commerce,0,323.44,2025-05-05,314,germany
FR-1155,E-commerce,0,414.54,2025-05-23,843,france
DE-1156,App Mobile,0,434.04,2025-05-21,963,Germany
