country,product_id,stock_quantity
FR,FR-1,61
FR,FR-2,24
FR,FR-3,81
FR,FR-4,70
France,DE-5,30
FR,FR-6,92
FR,FR-7,96
France,DE-8,84
France,DE-9,84
France,DE-10,97
FR,FR-11,3
FR,FR-12,12
FR,FR-13,31
FR,FR-14,62
FR,FR-15,11
FR,FR-16,1
FR,FR-17,39
France,DE-18,47
France,DE-19,11
France,DE-20,73
FR,FR-21,69
FR,FR-22,30
FR,FR-23,42
FR,FR-24,85
FR,FR-25,67
FR,FR-26,31
FR,FR-27,1
France,DE-28,58
FR,FR-29,68
France,DE-30,51
FR,FR-31,69
FR,FR-32,89
FR,FR-33,24
France,DE-34,71
France,DE-35,71
FR,FR-36,56
France,DE-37,71
France,DE-38,60
France,DE-39,64
FR,FR-40,73
FR,FR-41,12
FR,FR-42,60
FR,FR-43,16
FR,FR-44,30
France,DE-45,82
FR,FR-46,48
FR,FR-47,27
FR,FR-48,13
FR,FR-49,1
FR,FR-50,69
FR,FR-51,23
FR,FR-52,18
FR,FR-53,99
FR,FR-54,62
FR,FR-55,11
FR,FR-56,93
FR,FR-57,69
France,DE-58,80
FR,FR-59,53
France,DE-60,5
FR,FR-61,56
FR,FR-62,44
FR,FR-63,87
France,DE-64,90
FR,FR-65,45
FR,FR-66,59
France,DE-67,13
FR,FR-68,11
France,DE-69,15
FR,FR-70,63
FR,FR-71,3
FR,FR-72,63
FR,FR-73,72
FR,FR-74,27
FR,FR-75,99
FR,FR-76,53
FR,FR-77,43
FR,FR-78,83
FR,FR-79,71
FR,FR-80,23
FR,FR-81,57
FR,FR-82,24
France,DE-83,81
FR,FR-84,87
FR,FR-85,96
FR,FR-86,71
FR,FR-87,49
FR,FR-88,94
France,DE-89,89
FR,FR-90,91
FR,FR-91,62
FR,FR-92,33
FR,FR-93,35
FR,FR-94,98
FR,FR-95,69
FR,FR-96,50
FR,FR-97,3
FR,FR-98,24
FR,FR-99,54
FR,FR-100,74
FR,FR-101,98
FR,FR-102,80
FR,FR-103,18
FR,FR-104,97
FR,FR-105,10
France,DE-106,17
FR,FR-107,97
FR,FR-108,72
FR,FR-109,20
France,DE-110,90
FR,FR-111,17
FR,FR-112,44
FR,FR-113,44
FR,FR-114,42
FR,FR-115,14
France,DE-116,50
FR,FR-117,37
FR,FR-118,16
FR,FR-119,82
France,DE-120,81
FR,FR-121,21
FR,FR-122,43
FR,FR-123,42
FR,FR-124,57
France,DE-125,32
FR,FR-126,71
FR,FR-127,97
FR,FR-128,3
FR,FR-129,53
FR,FR-130,95
France,DE-131,44
FR,FR-132,74
FR,FR-133,56
FR,FR-134,87
FR,FR-135,3
FR,FR-136,10
France,DE-137,1
FR,FR-138,99
FR,FR-139,23
FR,FR-140,5
FR,FR-141,18
FR,FR-142,88
